,penalty_team,season,penalty_yards,penalty,first_down_penalty
217,NE,2023,676.0,89.0,24.0
218,NE,2024,916.0,111.0,32.0
219,NE,2025,967.0,108.0,32.0
220,NO,2016,969.0,107.0,32.0
221,NO,2017,1155.0,119.0,52.0
222,NO,2018,1043.0,108.0,39.0
223,NO,2019,1088.0,126.0,45.0
224,NO,2020,1059.0,107.0,50.0
225,NO,2021,811.0,98.0,35.0
226,NO,2022,841.0,99.0,38.0
227,NO,2023,846.0,96.0,33.0
228,NO,2024,1003.0,110.0,27.0
229,NO,2025,920.0,118.0,29.0
230,NYG,2016,899.0,91.0,26.0
231,NYG,2017,895.0,91.0,23.0
232,NYG,2018,946.0,113.0,37.0
233,NYG,2019,784.0,90.0,32.0
234,NYG,2020,634.0,81.0,23.0
235,NYG,2021,674.0,88.0,23.0
236,NYG,2022,877.0,112.0,39.0
237,NYG,2023,711.0,89.0,27.0
238,NYG,2024,928.0,112.0,25.0
239,NYG,2025,1075.0,128.0,35.0
240,NYJ,2016,837.0,93.0,29.0
241,NYJ,2017,1035.0,119.0,50.0
242,NYJ,2018,948.0,114.0,38.0
243,NYJ,2019,1105.0,115.0,40.0
244,NYJ,2020,952.0,101.0,46.0
245,NYJ,2021,860.0,103.0,38.0
246,NYJ,2022,866.0,91.0,27.0
247,NYJ,2023,945.0,124.0,37.0
248,NYJ,2024,1134.0,137.0,47.0
249,NYJ,2025,909.0,110.0,34.0
250,PHI,2016,945.0,113.0,34.0
251,PHI,2017,1076.0,130.0,38.0
252,PHI,2018,907.0,107.0,26.0
253,PHI,2019,881.0,107.0,30.0
254,PHI,2020,853.0,107.0,33.0
255,PHI,2021,887.0,111.0,36.0
256,PHI,2022,774.0,105.0,26.0
257,PHI,2023,829.0,100.0,31.0
258,PHI,2024,960.0,126.0,26.0
259,PHI,2025,1121.0,124.0,40.0
260,PIT,2016,1185.0,125.0,38.0
261,PIT,2017,921.0,105.0,25.0
262,PIT,2018,1021.0,110.0,33.0
263,PIT,2019,893.0,111.0,30.0
264,PIT,2020,716.0,85.0,24.0
265,PIT,2021,876.0,110.0,25.0
266,PIT,2022,711.0,94.0,23.0
267,PIT,2023,803.0,92.0,32.0
268,PIT,2024,864.0,109.0,26.0
269,PIT,2025,827.0,104.0,29.0
270,SEA,2016,1050.0,130.0,36.0
271,SEA,2017,1326.0,147.0,44.0
272,SEA,2018,995.0,116.0,34.0
273,SEA,2019,1043.0,126.0,32.0
274,SEA,2020,722.0,93.0,26.0
275,SEA,2021,803.0,97.0,36.0
276,SEA,2022,884.0,111.0,29.0
277,SEA,2023,944.0,110.0,34.0
278,SEA,2024,987.0,120.0,29.0
279,SEA,2025,873.0,112.0,36.0
280,SF,2016,826.0,98.0,30.0
281,SF,2017,988.0,123.0,37.0
282,SF,2018,977.0,111.0,37.0
283,SF,2019,1032.0,117.0,33.0
284,SF,2020,731.0,85.0,33.0
285,SF,2021,1208.0,121.0,45.0
286,SF,2022,869.0,111.0,36.0
287,SF,2023,1076.0,116.0,36.0
288,SF,2024,843.0,111.0,22.0
289,SF,2025,702.0,87.0,33.0
290,TB,2016,926.0,109.0,21.0
291,TB,2017,795.0,104.0,23.0
292,TB,2018,975.0,117.0,25.0
293,TB,2019,1111.0,133.0,39.0
294,TB,2020,848.0,100.0,36.0
295,TB,2021,959.0,104.0,38.0
296,TB,2022,827.0,102.0,27.0
297,TB,2023,809.0,110.0,27.0
298,TB,2024,904.0,115.0,33.0
299,TB,2025,737.0,95.0,23.0
300,TEN,2016,1012.0,110.0,28.0
301,TEN,2017,897.0,103.0,29.0
302,TEN,2018,727.0,82.0,18.0
303,TEN,2019,1062.0,117.0,32.0
304,TEN,2020,793.0,88.0,32.0
305,TEN,2021,988.0,105.0,37.0
306,TEN,2022,956.0,111.0,31.0
307,TEN,2023,882.0,110.0,42.0
308,TEN,2024,1025.0,130.0,37.0
309,TEN,2025,986.0,129.0,35.0
310,WAS,2016,909.0,110.0,34.0
311,WAS,2017,732.0,92.0,31.0
312,WAS,2018,1008.0,115.0,24.0
313,WAS,2019,825.0,105.0,34.0
314,WAS,2020,722.0,89.0,29.0
315,WAS,2021,743.0,82.0,25.0
316,WAS,2022,805.0,92.0,29.0
317,WAS,2023,701.0,87.0,25.0
318,WAS,2024,1044.0,127.0,44.0
319,WAS,2025,913.0,117.0,30.0
