penalty_team,season,penalty_type,penalty
ARI,2025,Illegal Formation,4.0
ARI,2025,Illegal Shift,2.0
ARI,2025,Illegal Use of Hands,2.0
ARI,2025,Ineligible Downfield Pass,3.0
ARI,2025,Intentional Grounding,4.0
ARI,2025,Kickoff Short of Landing Zone,3.0
ARI,2025,Neutral Zone Infraction,3.0
ARI,2025,Offensive Holding,28.0
ARI,2025,Offensive Pass Interference,2.0
ARI,2025,Roughing the Passer,2.0
ARI,2025,Unnecessary Roughness,2.0
ARI,2025,Unsportsmanlike Conduct,1.0
ATL,2016,Defensive 12 On-field,2.0
ATL,2016,Defensive Holding,11.0
ATL,2016,Defensive Offside,5.0
ATL,2016,Defensive Pass Interference,10.0
ATL,2016,Delay of Game,3.0
ATL,2016,Encroachment,2.0
ATL,2016,Face Mask,2.0
ATL,2016,False Start,21.0
ATL,2016,Illegal Block Above the Waist,1.0
ATL,2016,Illegal Formation,6.0
ATL,2016,Illegal Shift,1.0
ATL,2016,Ineligible Downfield Pass,2.0
ATL,2016,Intentional Grounding,1.0
ATL,2016,Interference with Opportunity to Catch,1.0
ATL,2016,Neutral Zone Infraction,5.0
ATL,2016,Offensive 12 On-field,1.0
ATL,2016,Offensive Holding,28.0
ATL,2016,Offensive Pass Interference,3.0
ATL,2016,Offside on Free Kick,1.0
ATL,2016,Player Out of Bounds on Punt,1.0
ATL,2016,Roughing the Kicker,1.0
ATL,2016,Roughing the Passer,1.0
ATL,2016,Taunting,1.0
ATL,2016,Unnecessary Roughness,8.0
ATL,2016,Unsportsmanlike Conduct,1.0
ATL,2017,Defensive 12 On-field,1.0
ATL,2017,Defensive Holding,10.0
ATL,2017,Defensive Offside,3.0
ATL,2017,Defensive Pass Interference,10.0
ATL,2017,Delay of Game,1.0
ATL,2017,Encroachment,2.0
ATL,2017,Face Mask,1.0
ATL,2017,Fair Catch Interference,1.0
ATL,2017,False Start,18.0
ATL,2017,Illegal Block Above the Waist,7.0
ATL,2017,Illegal Crackback,1.0
ATL,2017,Illegal Formation,1.0
ATL,2017,Illegal Substitution,1.0
ATL,2017,Illegal Use of Hands,1.0
ATL,2017,Intentional Grounding,1.0
ATL,2017,Low Block,1.0
ATL,2017,Neutral Zone Infraction,7.0
ATL,2017,Offensive Holding,24.0
ATL,2017,Offensive Pass Interference,1.0
ATL,2017,Offside on Free Kick,1.0
ATL,2017,Roughing the Passer,3.0
ATL,2017,Tripping,2.0
ATL,2017,Unnecessary Roughness,11.0
